id,force_id,component_id,status,notes
R-01,S-01,skills-installer,proposed,migrated from naive token 'skill-install'
R-02,S-01,skills-installer,proposed,migrated from naive token 'skill-check'
R-03,S-02,verification,proposed,migrated from naive token 'verify-traits'
R-04,S-02,structure-definition-lexicon,proposed,migrated from naive token 'terminology'
R-05,S-03,storage,proposed,migrated from naive token 'storage-append'
R-06,S-03,storage-sessions,proposed,migrated from naive token 'file-locking'
R-07,S-04,storage,proposed,migrated from naive token 'storage-init'
R-08,S-05,skills-phases,proposed,migrated from naive token 'skill-list'
R-09,S-05,skills-phases,proposed,migrated from naive token 'skill-show'
R-10,S-06,verification,proposed,migrated from naive token 'verify-traits'
R-11,S-06,structure-definition-lexicon,proposed,migrated from naive token 'terminology'
R-12,S-07,skills-installer,proposed,migrated from naive token 'skill-install'
R-13,S-07,skills-installer,proposed,migrated from naive token 'skill-check'
R-14,S-08,skills-phases,proposed,migrated from naive token 'skill-data'
R-15,S-08,storage,proposed,migrated from naive token 'storage-init'
R-16,S-09,verification-git-hook,proposed,migrated from naive token 'git-hook'
R-17,S-09,verification,proposed,migrated from naive token 'verify-all'
R-18,S-10,structure-analysis-tag-scan,proposed,migrated from naive token 'tag-scan'
R-19,S-11,verification,proposed,migrated from naive token 'verify-links'
R-20,S-11,verification,proposed,migrated from naive token 'verify-traits'
R-21,S-12,verification,proposed,migrated from naive token 'verify-traits'
R-22,S-12,structure-definition-lexicon,proposed,migrated from naive token 'terminology'
R-23,S-13,storage,proposed,migrated from naive token 'storage-io'
R-24,S-14,structure-analysis-stressors,proposed,migrated from naive token 'stressor-schema'
R-25,S-15,structure-definition-components,proposed,migrated from naive token 'components-registry'
R-26,S-15,verification,proposed,migrated from naive token 'verify-links'
R-27,S-16,structure-definition-components,proposed,migrated from naive token 'components-registry'
R-28,S-17,structure-analysis-residues,proposed,migrated from naive token 'residues-csv'
R-29,S-17,structure-analysis-stressors,proposed,migrated from naive token 'stressor-schema'
R-30,S-18,structure-analysis,proposed,migrated from naive token 'matrix-show'
R-31,S-18,structure-analysis,proposed,migrated from naive token 'group-filter'
R-32,S-19,structure-analysis-residues,proposed,migrated from naive token 'residues-csv'
R-33,S-20,storage,proposed,migrated from naive token 'storage-io'
R-34,S-20,storage-sessions,proposed,migrated from naive token 'change-detection'
R-35,S-21,skills-phases,proposed,migrated from naive token 'skill-interface'
R-36,S-22,research-study,proposed,migrated from naive token 'research-study'
R-37,S-22,skills-personas,proposed,migrated from naive token 'personas'
R-38,S-23,skills-phases,proposed,migrated from naive token 'skill-interface'
R-39,S-23,cli,proposed,migrated from naive token 'cli-add'
R-40,S-24,skills-phases,proposed,migrated from naive token 'skill-interface'
R-41,S-24,verification,proposed,migrated from naive token 'verify-all'
R-42,S-25,structure-analysis-attractors,proposed,migrated from naive token 'storage-attractors'
R-43,S-25,verification,proposed,migrated from naive token 'verify-links'
R-44,P-01,structure-analysis-purposes,proposed,migrated from naive token 'storage-purposes'
R-45,P-01,cli,proposed,migrated from naive token 'cli-add'
R-46,P-02,skills-phases,proposed,migrated from naive token 'skill-data'
R-47,P-02,skills-phases,proposed,migrated from naive token 'context-builder'
R-48,P-03,skills-installer,proposed,migrated from naive token 'skill-install'
R-49,P-03,skills-installer,proposed,migrated from naive token 'install-paths'
R-50,P-04,verification,proposed,migrated from naive token 'verify-traits'
R-51,P-04,verification,proposed,migrated from naive token 'verify-links'
R-52,P-04,verification-git-hook,proposed,migrated from naive token 'git-hook'
R-53,P-05,structure-analysis,proposed,migrated from naive token 'nkp-matrix'
R-54,P-05,structure-analysis,proposed,migrated from naive token 'matrix-show'
R-55,P-06,skills-installer,proposed,migrated from naive token 'skill-check'
R-56,P-06,skills-phases,proposed,migrated from naive token 'skill-show'
R-57,P-07,skills-phases,proposed,migrated from naive token 'skill-data'
R-58,P-07,skills-phases,proposed,migrated from naive token 'context-builder'
R-59,P-07,skills-phases,proposed,migrated from naive token 'skill-interface'
R-60,P-08,cli,proposed,migrated from naive token 'cli-init'
R-61,P-08,skills-phases,proposed,migrated from naive token 'skill-data'
R-62,P-08,verification,proposed,migrated from naive token 'verify-all'
R-63,P-09,skills-phases,proposed,migrated from naive token 'skill-interface'
R-64,P-09,verification,proposed,migrated from naive token 'verify-all'
R-65,P-10,skills-personas,proposed,migrated from naive token 'personas'
R-66,P-10,skills-phases,proposed,migrated from naive token 'stressor-walk'
R-67,P-11,structure-analysis-stressors,proposed,migrated from naive token 'storage-stressors'
R-68,P-11,structure-analysis-attractors,proposed,migrated from naive token 'storage-attractors'
R-69,P-12,structure-analysis-stressors,proposed,migrated from naive token 'storage-stressors'
R-70,P-12,skills-phases,proposed,migrated from naive token 'skill-interface'
R-71,P-13,structure-analysis,proposed,migrated from naive token 'nkp-matrix'
R-72,P-13,structure-analysis,proposed,migrated from naive token 'matrix-criticality'
R-73,P-13,structure-analysis,proposed,migrated from naive token 'matrix-ri'
R-74,P-14,research-study,proposed,migrated from naive token 'research-study'
R-75,P-15,research-study,proposed,migrated from naive token 'research-study'
R-76,P-15,skills-personas,proposed,migrated from naive token 'personas'
R-77,P-16,structure-analysis-attractors,proposed,migrated from naive token 'storage-attractors'
R-78,P-16,skills-phases,proposed,migrated from naive token 'skill-interface'
R-79,P-17,structure-analysis-purposes,proposed,migrated from naive token 'storage-purposes'
R-80,P-17,cli,proposed,migrated from naive token 'cli-add'
